Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate2_H05_S1B_10471048_DMT79_R1	Plate2_H05_S1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3480.0	873.4 kbp	0.0	251.0	58.0	40.02873563218391	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_H05_S1B_10471048_DMT79_R2	Plate2_H05_S1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3480.0	873.4 kbp	0.0	251.0	56.0	28.045977011494255	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_H06_S2B_10471048_DMT79_R1	Plate2_H06_S2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3696.0	927.6 kbp	0.0	251.0	58.0	37.44588744588744	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_H06_S2B_10471048_DMT79_R2	Plate2_H06_S2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3696.0	927.6 kbp	0.0	251.0	56.0	28.57142857142857	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_H07_S3B_10471048_DMT79_R1	Plate2_H07_S3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3450.0	865.9 kbp	0.0	251.0	58.0	37.391304347826086	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate2_H07_S3B_10471048_DMT79_R2	Plate2_H07_S3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3450.0	865.9 kbp	0.0	251.0	56.0	27.072463768115938	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_H08_S4B_10471048_DMT79_R1	Plate2_H08_S4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3271.0	821 kbp	0.0	251.0	58.0	37.6337511464384	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_H08_S4B_10471048_DMT79_R2	Plate2_H08_S4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3271.0	821 kbp	0.0	251.0	56.0	30.571690614490983	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_H09_S5B_10471048_DMT79_R1	Plate2_H09_S5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3622.0	909.1 kbp	0.0	251.0	58.0	36.19547211485367	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate2_H09_S5B_10471048_DMT79_R2	Plate2_H09_S5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3622.0	909.1 kbp	0.0	251.0	56.0	28.768636112644945	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A01_3B1B_10471048_DMT79_R1	Plate3_A01_3B1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3626.0	910.1 kbp	0.0	251.0	57.0	38.14120242691671	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_A01_3B1B_10471048_DMT79_R2	Plate3_A01_3B1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3626.0	910.1 kbp	0.0	251.0	55.0	31.963596249310534	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A02_3B2B_10471048_DMT79_R1	Plate3_A02_3B2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3658.0	918.1 kbp	0.0	251.0	57.0	34.63641334062329	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_A02_3B2B_10471048_DMT79_R2	Plate3_A02_3B2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3658.0	918.1 kbp	0.0	251.0	54.0	27.501366867140515	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
